сердитая матрона Прокалывала язык, к чему он не привык
И как мороженное таял Измены вкус на языке
Заляпан рот, Тугим языком Генерал проворачивает Слова
и высовывала лукаво кончик нежного языка
Ты жаждешь языком нащупать шепот
Привкус меди, смерти, тлена У него на языке, Будто царь царей из плена
Он язык трясет, чепуху несет
Эти твари красят губы Над коровьим языком, Их невысохшие груди Набухают молоком. 
Веет зной в запыленные лики, Костенеет язык
Но язык тяжелеет, как засов, на первом и на последнем слове
От любовного недуга Еле движется язык
Чем язык чесать о зубы
кого мы звали: «Приди, золотой!» ― своим пересохнувшим языком
и едкая, серая соль языка, который привешен, не праздно болтаясь
Шурша шершавым языком, Они, как матери, вздыхали
Он высунул язык, вздыхает непрерывно
И лижет губы языком шершавым
Отрезать язык, чтоб ничей он слух «Оскорблять кощунством не мог
и по земле волочит языком и нюхает
залаяла собачья голова Язык висит
а на язык прилипла какая-то поганая трава
Что ей сказать? Мой язык бормочет Какую-то дребедень
Я высуну язык. На крюк
показал запыленный языка легкий кончик
Он рвет, грызет кору и в предвкушеньи крови Облизывается пунцовым языком
И я лягу псом перед Тобою, с высохшим от счастья языком
вырывались черные руки
и ноги, высовывались языки и длинные мокрые волосы"
Он уверял он пел не без таланта Показывая языка морковь 
Он опустил очкастое лицо, Задумался, пощелкал языком И снова повторил
Какую носит на ладони труд, Какую языком и зубом трут
Ему обезьяны в зверинце почтительно кажут язык
добрая буренка Долговязого теленка Ластит языком
Иль вырви мне язык ― он мне не нужен
Толстый высунув язык, Свесив ноги из саней
Подсчитал свои депансы, Языком лукаво щелкнул
Здесь суматошливые фавны Язык показывают свой
Приятно будет, показав язык Своей норе
Убей трехцветного гада и вырви ему язык
Языки резать, руки обрубать
Как мне палач язык под корень резал
Где был язык во рте ― слин стало много
Он махнул На окрестности Шляпой с полями: Язык Показал. Точно бык, Помычал
Начал седые снега лизать Розовым языком
Вгрызаюсь зубами, кладу на язык И глотаю стаканами сельтерской
И с пеною у рта, и высунув наружу Язык, рвет крепкие силки
Княгиня прикусила свой розовый язык, И вся в лицо ей бросилась
Как будто на язык за кусом кус кладут воздушнейшие торта
И гуляке приходится подхалимничать, причмокнув языком
Сидела Дэзи, высунув язык, И уходил вдали слепой прохожий
Аж птицы, запыхавшись, высунули языки крохотными клювами ротиками
Дядя десять лет слизнул ― как корова языком
Часами смотрит он с пригорка, Лениво вывалив язык, Как над окошком пухнет шторка Как за забором бродит бык
Побледнел крупье обличьем, с языка течет слюна
Ты в немом сладострастье Кусала язык Перед старцем влюбленным
Пускай отсохнет мой язык, Пусть руку отсекут мою
Без песен пересох язык и взгляд потух
Губу закусишь, чтоб слюна вожжою Не потекла, чтоб не сосал язык
лицо краснеет как медвежья рана глаза закрыты язык распух он вялый как погромный пух
Он вырвал бы язык бессильный свой И отдал бы коню
Поистине достоин Иметь язык волшебный конь
Но желтого окна кривая пасть Высовывала вдруг язык стеклянный
И доги, маститые морды вздымая, Слюняво трясут языки
А остальное ― тайна: Вырежут с языком
чтобы высунуть перину, как малиновый язык
Леденеют губы, леденят язык.
И вялый трупный привкус этот На языке моём во рту
У этой дамы не язык, а мельница
Лизнешь меня ― на языке соль
Съедаю голову и руку Язык тушеный, мягкий мозг
Распух от страха и жары язык
Женщина, что от дозору спрятала Меж языком и нёбом
В душе без пояса, С заломленной фуражкой, Прищелкивая языком, Работаем, Свистим
И язык обжигала вкусная боль
Губы раздувало, как на костре. Высох язык. На губах роговица.
Языком изнутри по зубам выводил
Макая в кровь язык опухший
Переглянуться с крохотным мальчишкой, Язык ему лукаво показать
Чтоб к гортани мой язык присох
От повторений язык распух, А в голову тезис не лезет
От сока ― три дня в пустыне ― от взора язык слип и высох
Которая перед атакой Ладонь языком лизала, Ходила за мной, как собака
Из раковин губ выползал, как улитка, язык, Даже губы мозолисты стали
Павел Первый на призрачный ужин Входит с высунутым языком
Кровавым потом лица Закапаны, и онемел язык
Девицы дразнят их издевкой, Мальчишки кажут им язык
Шершавым языком собаки Расписку верности даю
Так, чтобы этот язык Зубом насквозь прокусить
Точно коровий язык, серый и грубый, шершавый
Дико высовывая языки Пакли и кудели
О, язык давно прилип к гортани,
Не в силах закушенный язык прожевать, Падая, чокнулись и поцеловались в мешке
Так язвительно и ядовито, Что язык из пасти извивался, Как у геральдического льва
Болтается шепелявый язык. Перевалилась, шаря
Языком розоватым и тонким Зубы твои размыкает прелестная
И роговой чуть высунув язык, Великолепный голубой и алый
В коленях ― дрожь язык ― горяч и сух
От холодного воздуха язык в мяте
Настежь рта гардероб И язык, Как красное платье
И языком долго лизала Солнечный луч на снегу
И вместе улыбались в высь, Облизывая морды языком
Я ушной бы дырочки коснулся Кончиком горячим языка
Тело Карсавиной извивается, Как язык во рту при разговоре
Слышит: кто-то ровно ― щелк! ― языком
Игриво покажу язык свой синий
Он оближет языком шершавым Тень руки на кресельной щеке
У схимника ― у старца Епифания Язык отрезали
Языком вылижу на иконах я Лики мучеников и святых
Неуемный язык ночью отрезали
А он летит ― хрипят бока, И пена льется с языка
Имя твое ― льдинка на языке, Одно единственное движенье губ
Язык твой ― сахар, мед ― уста, а зубы ― жемчуг и алмаз
С языками слюнявыми книзу Псы застыли и ждут
Каждый верит в слово: смерть Шепчет мой язык, сухой и воспаленный
Голова тревожно подымалась, И язык на ране застывал
Только б звякали монеты, Только б жгло язык вино
кувшин последний выпит, Засох язык, изранены ступни
Всё сказать, о чем язык немеет, Что мы долго в душах берегли
Налакомившийся сладким мясом двуногого, Залезая, языком кровавым лизнет Проснувшийся, кинувшийся к матери помет
Ноздрей горячих хрящ, и, вспенившись, язык Лизал мохры губы
Высунув жаркий язык, дышит собака над ним
Когда я большую собаку глажу и чую на руке ее язык горячий и влажный
И они валялись на земле С высунутым синим языком
Я языком своим шершавым Все раны сердца залижу
В траве раздвоенное жало ― Отравленный язык змеи
Чопорной гостье покажешь язык И задрожишь и заплачешь под слово
В петлю голову я всуну, Синий высуну язык
Но вкус твой гибельной отравой Язык и губы едко жжет
Всё чугунным языком По серебряным губам
Лицо прорезали мне полосы, Язык мой пухнущий гниет
Пальцы мчатся, локти ходят, тараторят языки, Непрерывные движенья равномерны и легки
Так пронзительно ноют и стынут лопатки И щемит словоблудный, опухший язык
Словил кузнец клещьми язык, Каленными доала
Пусть рук и языка меня лишат ― томными вздохами
Вот и высунул из петли Красный свой язык
Молча под нож свой язык я и руки б простер
А наверху повис, болтая языком, Как щедр был сон в фантазии своей
И беспомощно свесив усталый язык, Не раздевшись, он спит в европейской одежде
Распухли жилы грузно поник язык Блестят под вздернутой одеждой
И мне хотелось Заговорить но у меня язык Прилип к гортани
Пока из кудрей не мелькнет Змеи раздвоенный язык
Зевая, морщится и лижет языком Свой пальчик розовый, запачканный в чернилах
Рот ― как пасть язык ― что блюдо
Язык его не слушался Старик слюною брызгался, Шипел
Но вместо крика стон раздался: Язык ему не покорялся
Хочется вымолвить слово: Сохнет язык и немеет
В истериках так мучилась она, Что прикусить язык пришлось от боли
Какой собака, вор и клеветник? Чтоб у него язык распух! Чтоб очи Полопались
под жгучим солнцем ноги Он вытянул, и пена с языка Струится с кровию
Ты смел назвать Ивана? Я тебе Велю язык твой вырвать! 
Пью голый спирт, питаюсь скипидаром, Мой рот сожжен, изорван мой язык,
Прилипнул язык онемевший к гортани
И кость в нем сохнет, изнывая, Глаза в крови, горит язык
Три дня ворочать не мог языка, Три дня метался на печке
зверь не бывал меня злее: Кажется, вырвал бы деду язык
Потом Уныло щелкнул языком, И мы разъехались
Грозно брови сжал, Языком прищелкнул И сигару взял
Пусть высохнет моя рука И пусть прильнет язык к гортани
Изменит мне тогда, старик, Я вырву слабый мой язык
Он дальше говорить хотел, Но вдруг язык оцепенел Он сделать знак хотел рукой
Тут опять уста ее сомкнулись, И язык перестал шевелиться
Рука дрожит, язык немеет Осуществить мечту мою
И кровь охладела, И плоть помертвела, Язык отнялся
И крадется, косяся взглядом, И лижет морду языком, И, обошедши льва кругом
Вот, море кругом обежавши, Высунув язык, мордку поднявши, Прибежал бесенок, задыхаясь
Окаменей язык лукавый, Когда забуду грусть мою
Над кучей книг, Кусать язык И проклинать Отца и мать
Кому язык отрежут, а кому И голову ― такая, право, притча
«Повесил бы тебя на сосну за язык, ―Сказал один старик
Прилипни навсегда язык к устам моим
То ― шутить я не привык ― Бабам вырежу язык, А мужчинам нечто хуже
Ноги вытянув умильно, Черта дразнит языком, Видеть ведьму вображает
Перед Змеею Клеветник Свой выставлял язык, А перед ним Змея своим хвалилась жалом
одумался И в молчаньи закусил язык
«Что ты, голубчик, так охрип?» К гортани мой язык прилип
И, в брюхо упершись ногою, Поймал зубами за язык
Но да прильпнет язык к гортани Твоей, о грешный человек
Чтоб крылья я остриг Или язык обрезал Тебе я,
Стремлюсь с ней говорить, но мой язык немеет
И, высунув язык, как пес уставши
Пилу пилит, Язык болит, Истрескалися губы
Желта от желчи грудь, и яд течет с языка
Ни рта, ни языка, ни горла не имею
Вкусов мы языком можем разнь распознавать
Что весь ― ухо, языка во рту не имеешь
Пусть злобна зависть яд свой льет, Пусть свой язык, ярясь, грызет
Чуть покатать на языке, Добавить специи, и―кушать
Бежим от правды, сами просим лжи Язык ведь без костей, он гибок
На язык свой положу, Тают ягодки во рту
На языке всегда медок, А под плащом―ножа ледок
Влажностью захлёбываясь влажный язык проникает во влажно-горячие губы
змеи раздвоенный язык лакает память из забвенья
не сделаешь, вокруг чужие руки, глаза, язык, так далее
заклеила рот толстым скотчем и сделала так, чтоб язык онемел
Язык мой костлявый подобен ножу
Язык мой отсох, я в стихах напишу
Приезжали, смотрели, Языками щелкали, От скупости своей ревели
Сготовит солянку―проглотишь язык, Если ты к кухне её не привык
Носик языком лизнула И спокойненько уснула
Кровь, На языке вкус ― соль
Язык посинел, И сквозь кожу мы воздух вдыхаем
От горечи этой Распухший язык, Отёкшие веки, Икота
Лижет лапку языком, И, усевшись на подушке, Машет весело хвостом
Твой скорей отсохнет язык, чем во мне поселится бес
Жадным сухим языком лижет тот же сирокко
От салфетки отказался - Языком лишь облизался
наши замкнуты пасти и лежат меж зубов языки
у нее язык плюс лапа цельный день сидит у шкапа
А тело как вата, Язык заплетался
нежно язык мой по шее скользит
И слизнет его корова теплым языком
Руку мне лизнет корова мягким языком.
Эй, корова, на те хлеба Где же твой язык
И в страсти языки сплелись внутри
Чтоб добро не пропадало, Он слизал всё языком
То, как в детстве, показала мне язык
